season,home_team_score,visitor_team_score,home_team.id,visitor_team.id,home_team_wins,visitor_team_wins
2018,110,99,12,20,1,0
2018,95,86,8,28,1,0
2018,96,102,19,16,0,1
2018,127,131,13,25,0,1
2018,102,97,11,29,1,0
2018,110,128,20,24,0,1
2018,104,107,9,17,0,1
2018,121,96,21,5,1,0
2018,110,93,10,15,1,0
2018,132,105,18,26,1,0
2018,123,96,27,23,1,0
2018,91,92,12,6,0,1
2018,115,110,3,14,1,0
2018,126,118,8,7,1,0
2018,118,110,1,30,1,0
2018,123,129,18,9,0,1
2018,99,92,25,15,1,0
2018,113,132,26,21,0,1
2018,108,103,29,10,1,0
2018,136,118,11,30,1,0
2018,90,129,22,27,0,1
2018,123,115,17,19,1,0
2018,131,109,23,20,1,0
2018,110,99,4,6,1,0
2018,93,96,5,3,0,1
2018,103,111,2,24,0,1
2018,99,96,28,12,1,0
2018,101,99,16,11,1,0
2018,125,121,13,7,1,0
2018,90,120,25,29,0,1
2018,102,99,26,15,1,0
2018,107,114,20,1,0,1
2018,126,110,28,6,1,0
2018,107,120,2,17,0,1
2018,112,104,14,19,1,0
2018,124,98,27,18,1,0
2018,106,114,3,12,0,1
2018,90,80,5,22,1,0
2018,98,86,4,9,1,0
2018,132,111,13,8,1,0
2018,149,146,30,24,1,0
2018,126,101,23,28,1,0
2018,94,87,16,17,1,0
2018,108,101,11,27,1,0
2018,120,116,10,7,1,0
2018,106,107,29,21,0,1
2018,99,107,14,15,0,1
2018,129,127,10,13,1,0
2018,121,118,25,7,1,0
2018,112,114,21,18,0,1
2018,122,117,26,19,1,0
2018,111,103,3,24,1,0
2018,92,112,6,5,0,1
2018,119,103,2,4,1,0
2018,105,89,12,30,1,0
2018,95,98,9,1,0,1
2018,91,115,22,16,0,1
2018,95,109,20,17,0,1
2018,113,109,11,21,1,0
2018,121,114,2,23,1,0
2018,101,127,10,14,0,1
2018,117,96,29,25,1,0
2018,95,87,15,6,1,0
2018,127,118,13,26,1,0
2018,111,103,27,8,1,0
2018,122,119,7,19,1,0
2018,94,119,5,18,0,1
2018,120,122,22,24,0,1
2018,134,132,3,4,1,0
2018,121,129,1,12,0,1
2018,106,95,9,30,1,0
2018,104,106,16,28,0,1
2018,127,113,11,2,1,0
2018,112,96,17,20,1,0
2018,117,116,26,14,1,0
2018,97,114,29,23,0,1
2018,109,110,10,25,0,1
2018,107,118,14,13,0,1
2018,102,118,24,21,0,1
2018,102,99,8,27,1,0
2018,120,123,18,1,0,1
2018,118,94,16,6,1,0
2018,92,101,30,5,0,1
2018,116,87,22,28,1,0
2018,100,87,4,3,1,0
2018,125,88,12,9,1,0
2018,114,112,19,7,1,0
2018,129,97,29,20,1,0
2018,111,122,13,27,0,1
2018,118,122,24,8,0,1
2018,103,112,15,2,0,1
2018,105,115,25,10,0,1
2018,130,126,30,4,1,0
2018,129,115,17,3,1,0
2018,111,108,1,6,1,0
2018,104,108,19,11,0,1
2018,109,107,22,9,1,0
2018,104,113,16,18,0,1
2018,95,89,28,5,1,0
2018,105,103,7,21,1,0
2018,129,95,25,23,1,0
2018,121,114,14,26,1,0
2018,109,132,24,10,0,1
2018,123,114,19,18,1,0
2018,120,111,27,2,1,0
2018,122,102,21,7,1,0
2018,125,100,4,22,1,0
2018,113,101,11,15,1,0
2018,116,108,12,1,1,0
2018,113,119,13,23,0,1
2018,108,113,26,25,0,1
2018,122,116,28,29,1,0
2018,121,98,17,9,1,0
2018,115,108,8,20,1,0
2018,100,107,14,21,0,1
2018,84,122,4,7,0,1
2018,126,121,3,19,1,0
2018,114,98,30,1,1,0
2018,115,102,2,18,1,0
2018,94,101,15,9,0,1
2018,84,112,5,22,0,1
2018,127,132,24,23,0,1
2018,92,117,6,16,0,1
2018,134,135,10,11,0,1
2018,125,107,27,28,1,0
2018,113,117,26,8,0,1
2018,91,117,6,29,0,1
2018,114,93,2,7,1,0
2018,115,109,16,30,1,0
2018,116,119,5,12,0,1
2018,120,103,18,22,1,0
2018,100,109,15,3,0,1
2018,111,121,24,13,0,1
2018,144,112,17,1,1,0
2018,109,111,25,21,0,1
2018,112,119,14,20,0,1
2018,98,133,6,19,0,1
2018,123,127,26,10,0,1
2018,110,101,25,11,1,0
2018,116,123,17,28,0,1
2018,106,100,23,7,1,0
2018,105,110,9,29,0,1
2018,123,110,8,4,1,0
2018,108,88,27,15,1,0
2018,113,119,24,4,0,1
2018,100,117,5,3,0,1
2018,108,86,18,14,1,0
2018,106,96,13,22,1,0
2018,106,82,1,16,1,0
2018,98,116,21,30,0,1
2018,121,105,28,12,1,0
2018,111,101,25,20,1,0
2018,97,107,7,14,0,1
2018,111,95,26,22,1,0
2018,114,95,19,15,1,0
2018,107,119,9,27,0,1
2018,125,113,11,8,1,0
2018,114,102,17,29,1,0
2018,116,95,2,3,1,0
2018,115,123,6,12,0,1
2018,132,115,23,30,1,0
2018,99,103,16,8,0,1
2018,104,101,28,1,1,0
2018,117,119,21,18,0,1
2018,115,111,24,26,1,0
2018,128,109,13,4,1,0
2018,122,95,10,20,1,0
2018,113,100,14,9,1,0
2018,124,112,25,5,1,0
2018,104,94,7,24,1,0
2018,106,93,29,22,1,0
2018,140,124,19,6,1,0
2018,109,116,11,17,0,1
2018,116,100,3,1,1,0
2018,123,106,30,23,1,0
2018,135,108,2,12,1,0
2018,96,86,15,27,1,0
2018,115,99,16,2,1,0
2018,121,100,8,13,1,0
2018,154,147,27,21,1,0
2018,112,102,26,9,1,0
2018,115,119,18,7,0,1
2018,146,109,10,5,1,0
2018,127,96,25,4,1,0
2018,141,113,11,6,1,0
2018,113,95,29,14,1,0
2018,106,121,20,12,0,1
2018,113,106,30,17,1,0
2018,122,105,28,3,1,0
2018,121,123,23,1,0,1
2018,112,108,16,15,1,0
2018,104,109,13,9,0,1
2018,104,97,26,4,1,0
2018,105,103,22,2,1,0
2018,102,93,24,8,1,0
2018,110,102,29,5,1,0
2018,110,106,18,19,1,0
2018,122,112,21,27,1,0
2018,138,140,30,28,0,1
2018,114,133,1,17,0,1
2018,116,109,22,11,1,0
2018,105,108,20,23,0,1
2018,116,113,8,25,1,0
2018,114,119,7,10,0,1
2018,95,101,14,6,0,1
2018,112,94,11,15,1,0
2018,93,108,27,4,0,1
2018,100,94,29,9,1,0
2018,115,107,26,25,1,0
2018,109,102,3,2,1,0
2018,117,121,13,19,0,1
2018,149,107,23,18,1,0
2018,124,86,17,16,1,0
2018,107,100,14,5,1,0
2018,111,142,8,10,0,1
