id,first_name,last_name,position,height,weight,jersey_number,college,country,draft_year,draft_round,draft_number,team.id,team.conference,team.division,team.city,team.name,team.full_name,team.abbreviation
274,Kawhi,Leonard,F,6-7,225,2,San Diego State,USA,2011,1.0,15.0,13,West,Pacific,LA,Clippers,LA Clippers,LAC
277,Caris,LeVert,G,6-6,205,3,Michigan,USA,2016,1.0,20.0,6,East,Central,Cleveland,Cavaliers,Cleveland Cavaliers,CLE
278,Damian,Lillard,G,6-2,195,0,Weber State,USA,2012,1.0,6.0,17,East,Central,Milwaukee,Bucks,Milwaukee Bucks,MIL
282,Kevon,Looney,F,6-9,222,5,UCLA,USA,2015,1.0,30.0,10,West,Pacific,Golden State,Warriors,Golden State Warriors,GSW
283,Brook,Lopez,C,7-1,282,11,Stanford,USA,2008,1.0,10.0,17,East,Central,Milwaukee,Bucks,Milwaukee Bucks,MIL
285,Kevin,Love,F-C,6-8,251,42,UCLA,USA,2008,1.0,5.0,16,East,Southeast,Miami,Heat,Miami Heat,MIA
286,Kyle,Lowry,G,6-0,196,7,Villanova,USA,2006,1.0,24.0,23,East,Atlantic,Philadelphia,76ers,Philadelphia 76ers,PHI
290,Trey,Lyles,F,6-9,234,41,Kentucky,Canada,2015,1.0,12.0,26,West,Pacific,Sacramento,Kings,Sacramento Kings,SAC
297,Lauri,Markkanen,F,7-0,240,23,Arizona,Finland,2017,1.0,7.0,29,West,Northwest,Utah,Jazz,Utah Jazz,UTA
303,CJ,McCollum,G,6-3,190,3,Lehigh,USA,2013,1.0,10.0,19,West,Southwest,New Orleans,Pelicans,New Orleans Pelicans,NOP
305,Doug,McDermott,F,6-6,225,20,Creighton,USA,2014,1.0,11.0,12,East,Central,Indiana,Pacers,Indiana Pacers,IND
306,JaVale,McGee,C,7-0,270,00,Nevada,USA,2008,1.0,18.0,26,West,Pacific,Sacramento,Kings,Sacramento Kings,SAC
313,De'Anthony,Melton,G,6-3,200,8,Southern California,USA,2018,2.0,46.0,23,East,Atlantic,Philadelphia,76ers,Philadelphia 76ers,PHI
314,Chimezie,Metu,F,6-10,225,4,Southern California,USA,2018,2.0,49.0,9,East,Central,Detroit,Pistons,Detroit Pistons,DET
315,Khris,Middleton,F,6-7,222,22,Texas A&M,USA,2012,2.0,39.0,17,East,Central,Milwaukee,Bucks,Milwaukee Bucks,MIL
319,Patty,Mills,G,6-2,180,8,St. Mary's,Australia,2009,2.0,55.0,16,East,Southeast,Miami,Heat,Miami Heat,MIA
320,Shake,Milton,G,6-5,205,13,Southern Methodist,USA,2018,2.0,54.0,20,East,Atlantic,New York,Knicks,New York Knicks,NYK
322,Donovan,Mitchell,G,6-3,215,45,Louisville,USA,2017,1.0,13.0,6,East,Central,Cleveland,Cavaliers,Cleveland Cavaliers,CLE
324,Malik,Monk,G,6-3,200,0,Kentucky,USA,2017,1.0,11.0,26,West,Pacific,Sacramento,Kings,Sacramento Kings,SAC
328,Marcus,Morris,F,6-8,218,24,Kansas,USA,2011,1.0,14.0,6,East,Central,Cleveland,Cavaliers,Cleveland Cavaliers,CLE
329,Markieff,Morris,F,6-9,245,88,Kansas,USA,2011,1.0,13.0,7,West,Southwest,Dallas,Mavericks,Dallas Mavericks,DAL
330,Monte,Morris,G,6-2,183,23,Iowa State,USA,2017,2.0,51.0,18,West,Northwest,Minnesota,Timberwolves,Minnesota Timberwolves,MIN
334,Dejounte,Murray,G,6-5,180,5,Washington,USA,2016,1.0,29.0,1,East,Southeast,Atlanta,Hawks,Atlanta Hawks,ATL
335,Jamal,Murray,G,6-4,215,27,Kentucky,Canada,2016,1.0,7.0,8,West,Northwest,Denver,Nuggets,Denver Nuggets,DEN
337,Mike,Muscala,F-C,6-10,240,50,Bucknell,USA,2013,2.0,44.0,21,West,Northwest,Oklahoma City,Thunder,Oklahoma City Thunder,OKC
338,Svi,Mykhailiuk,G,6-7,205,50,Kansas,Ukraine,2018,2.0,47.0,2,East,Atlantic,Boston,Celtics,Boston Celtics,BOS
340,Larry,Nance Jr.,F,6-8,245,22,Wyoming,USA,2015,1.0,27.0,19,West,Southwest,New Orleans,Pelicans,New Orleans Pelicans,NOP
344,Georges,Niang,F,6-7,230,20,Iowa State,USA,2016,2.0,50.0,6,East,Central,Cleveland,Cavaliers,Cleveland Cavaliers,CLE
349,Jusuf,Nurkic,C,7-0,290,20,Cedevita,Bosnia and Herzegovina,2014,1.0,16.0,24,West,Pacific,Phoenix,Suns,Phoenix Suns,PHX
356,Josh,Okogie,G,6-4,213,2,Georgia Tech,Nigeria,2018,1.0,20.0,24,West,Pacific,Phoenix,Suns,Phoenix Suns,PHX
358,Kelly,Olynyk,F,6-11,240,41,Gonzaga,Canada,2013,1.0,13.0,28,East,Atlantic,Toronto,Raptors,Toronto Raptors,TOR
359,Cedi,Osman,F,6-7,230,16,Anadolu Efes,Turkey,2015,2.0,31.0,27,West,Southwest,San Antonio,Spurs,San Antonio Spurs,SAS
360,Kelly,Oubre Jr.,F,6-7,203,9,Kansas,USA,2015,1.0,15.0,23,East,Atlantic,Philadelphia,76ers,Philadelphia 76ers,PHI
367,Chris,Paul,G,6-0,175,3,Wake Forest,USA,2005,1.0,4.0,10,West,Pacific,Golden State,Warriors,Golden State Warriors,GSW
368,Cameron,Payne,G,6-3,183,22,Murray State,USA,2015,1.0,14.0,23,East,Atlantic,Philadelphia,76ers,Philadelphia 76ers,PHI
371,Mason,Plumlee,F-C,6-10,254,44,Duke,USA,2013,1.0,22.0,13,West,Pacific,LA,Clippers,LA Clippers,LAC
373,Jakob,Poeltl,C,7-0,260,19,Utah,Austria,2016,1.0,9.0,28,East,Atlantic,Toronto,Raptors,Toronto Raptors,TOR
375,Michael,Porter Jr.,F,6-10,218,1,Missouri,USA,2018,1.0,14.0,8,West,Northwest,Denver,Nuggets,Denver Nuggets,DEN
377,Bobby,Portis,F,6-10,250,9,Arkansas,USA,2015,1.0,22.0,17,East,Central,Milwaukee,Bucks,Milwaukee Bucks,MIL
378,Kristaps,Porzingis,F-C,7-2,240,8,Cajasol Sevilla,Latvia,2015,1.0,4.0,2,East,Atlantic,Boston,Celtics,Boston Celtics,BOS
379,Dwight,Powell,F-C,6-10,240,7,Stanford,Canada,2014,2.0,45.0,7,West,Southwest,Dallas,Mavericks,Dallas Mavericks,DAL
380,Norman,Powell,F-G,6-4,215,24,UCLA,USA,2015,2.0,46.0,13,West,Pacific,LA,Clippers,LA Clippers,LAC
383,Taurean,Prince,F,6-6,218,12,Baylor,USA,2016,1.0,12.0,14,West,Pacific,Los Angeles,Lakers,Los Angeles Lakers,LAL
387,Julius,Randle,F,6-8,250,30,Kentucky,USA,2014,1.0,7.0,20,East,Atlantic,New York,Knicks,New York Knicks,NYK
391,Josh,Richardson,G-F,6-5,200,0,Tennessee,USA,2015,2.0,40.0,16,East,Southeast,Miami,Heat,Miami Heat,MIA
398,Jerome,Robinson,G,6-5,190,18,Boston College,USA,2018,1.0,13.0,10,West,Pacific,Golden State,Warriors,Golden State Warriors,GSW
399,Mitchell,Robinson,C,7-0,240,23,Western Kentucky,USA,2018,2.0,36.0,20,East,Atlantic,New York,Knicks,New York Knicks,NYK
401,Derrick,Rose,G,6-3,200,23,Memphis,USA,2008,1.0,1.0,15,West,Southwest,Memphis,Grizzlies,Memphis Grizzlies,MEM
403,Terry,Rozier,G,6-1,190,2,Louisville,USA,2015,1.0,16.0,16,East,Southeast,Miami,Heat,Miami Heat,MIA
405,D'Angelo,Russell,G,6-3,193,1,Ohio State,USA,2015,1.0,2.0,14,West,Pacific,Los Angeles,Lakers,Los Angeles Lakers,LAL
406,Domantas,Sabonis,F,6-10,240,10,Gonzaga,Lithuania,2016,1.0,11.0,26,West,Pacific,Sacramento,Kings,Sacramento Kings,SAC
407,Dario,Saric,F,6-10,225,20,Anadolu Efes,Croatia,2014,1.0,12.0,10,West,Pacific,Golden State,Warriors,Golden State Warriors,GSW
409,Dennis,Schroder,G,6-1,175,17,Braunschweig,Germany,2013,1.0,17.0,3,East,Atlantic,Brooklyn,Nets,Brooklyn Nets,BKN
413,Collin,Sexton,G,6-3,190,2,Alabama,USA,2018,1.0,8.0,29,West,Northwest,Utah,Jazz,Utah Jazz,UTA
414,Landry,Shamet,G,6-4,190,20,Wichita State,USA,2018,1.0,26.0,30,East,Southeast,Washington,Wizards,Washington Wizards,WAS
416,Pascal,Siakam,F,6-8,245,43,New Mexico State,Cameroon,2016,1.0,27.0,12,East,Central,Indiana,Pacers,Indiana Pacers,IND
417,Ben,Simmons,G-F,6-10,240,10,Louisiana State,Australia,2016,1.0,1.0,3,East,Atlantic,Brooklyn,Nets,Brooklyn Nets,BKN
419,Anfernee,Simons,G,6-3,193,1,Edgewater HS (FL),USA,2018,1.0,24.0,25,West,Northwest,Portland,Trail Blazers,Portland Trail Blazers,POR
420,Marcus,Smart,G,6-3,220,36,Oklahoma State,USA,2014,1.0,6.0,15,West,Southwest,Memphis,Grizzlies,Memphis Grizzlies,MEM
421,Dennis,Smith Jr.,G,6-3,205,4,North Carolina State,USA,2017,1.0,9.0,3,East,Atlantic,Brooklyn,Nets,Brooklyn Nets,BKN
434,Jayson,Tatum,F,6-8,210,0,Duke,USA,2017,1.0,3.0,2,East,Atlantic,Boston,Celtics,Boston Celtics,BOS
440,Isaiah,Thomas,G,5-9,185,4,Washington,USA,2011,2.0,60.0,24,West,Pacific,Phoenix,Suns,Phoenix Suns,PHX
